,sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution,Outcome
65,1573,5,-47,1,1,0,1,0,0,1
66,2474,3,-72,1,1,1,1,1,0,0
67,3911,3,-70,0,1,1,0,1,0,0
68,4114,3,-29,1,0,1,0,1,1,0
69,2875,4,-64,1,1,0,0,0,0,0
70,4216,5,-25,1,1,0,1,0,0,0
71,1017,4,-72,1,0,1,0,1,0,1
72,1844,1,-25,0,0,0,0,1,1,1
73,3795,0,-81,1,1,1,1,0,1,0
74,1765,5,-4,1,0,0,0,0,1,1
75,1035,0,-33,1,0,0,0,1,1,1
76,1053,4,-55,0,0,1,1,0,0,1
77,2508,1,-40,0,0,0,0,0,1,0
78,3312,5,-53,1,1,1,1,0,1,0
79,1715,4,-91,0,1,1,0,0,1,1
80,4436,4,-19,1,0,0,1,0,0,0
81,3872,1,-73,0,1,1,1,1,1,0
82,1114,3,-75,0,1,0,0,0,0,1
83,710,4,-9,1,1,0,0,0,0,1
84,1292,1,-64,1,0,1,0,1,1,1
85,4204,0,-5,1,0,1,1,1,1,0
86,4936,4,-50,0,0,0,1,0,0,0
87,1335,5,-75,1,0,0,0,1,0,1
88,509,4,-40,1,0,1,1,1,1,1
89,4050,1,-79,0,0,0,1,0,1,0
90,517,0,-98,1,1,0,0,0,1,1
91,1219,3,-65,1,1,1,0,0,1,1
92,3444,5,-85,0,1,0,0,0,0,0
93,3173,2,-16,0,1,1,0,0,0,0
94,3758,2,-77,0,1,1,0,1,1,0
95,3806,5,-12,0,1,0,1,1,1,0
96,3527,0,-14,1,1,1,1,0,1,0
97,3320,4,-55,0,0,1,0,0,0,0
98,741,2,-27,1,0,1,1,0,0,1
99,920,5,-79,1,0,1,1,0,1,1
100,173,3,-44,1,0,0,0,0,0,1
101,402,4,-86,1,1,1,0,1,1,1
102,802,2,-30,1,1,0,0,1,0,1
103,181,4,-20,0,0,1,0,0,0,1
104,1920,0,-90,1,1,0,1,1,1,1
105,1587,1,-33,0,1,1,0,0,0,1
106,1719,3,-25,1,0,0,1,0,0,1
107,4006,3,-90,0,1,0,1,1,1,0
108,99,1,-31,0,0,1,0,0,0,1
109,3124,3,-52,0,0,1,0,0,1,0
110,4486,0,-19,0,0,0,0,0,1,0
111,3805,1,-90,1,0,1,1,0,1,0
112,2119,5,-23,1,0,1,1,1,0,1
113,795,1,-89,0,1,0,1,0,0,1
114,1653,1,-22,0,0,0,1,1,1,1
115,3124,4,-9,0,1,1,0,1,0,0
116,1613,3,-33,0,0,1,1,1,0,1
117,2210,3,-97,1,0,0,1,1,0,0
118,3749,3,-89,0,1,1,0,0,1,0
119,3177,0,-70,0,0,0,1,1,1,0
120,1841,1,-36,0,0,0,1,0,0,1
121,3770,2,-81,1,0,1,0,0,0,0
122,2652,4,-43,1,0,1,0,0,0,0
123,4151,0,-27,1,1,0,0,1,0,0
124,2173,3,-12,1,0,0,0,0,0,0
125,3005,4,-42,0,1,1,1,0,0,0
126,4735,2,-26,1,1,1,0,0,0,0
127,3613,1,-76,1,1,1,0,0,0,0
128,432,3,-52,0,0,1,0,0,1,1
129,3057,4,-26,0,0,0,1,1,1,0
130,2222,1,-17,0,0,1,1,0,0,0
131,3473,4,-51,1,0,0,1,0,0,0
132,1626,5,-63,0,1,0,0,1,0,1
133,360,0,-27,1,0,0,0,1,0,1
134,1738,0,-43,1,1,0,1,0,0,1
135,2248,1,-15,0,0,1,0,1,1,0
136,2560,3,-32,1,1,0,1,1,0,0
137,1931,3,-16,0,0,0,1,1,1,1
138,1432,2,-54,1,1,1,1,1,1,1
139,3010,2,-2,0,1,0,1,0,0,0
140,4608,1,-70,0,1,1,0,1,0,0
141,3078,4,-59,1,1,0,1,1,1,0
142,3866,4,-26,0,0,1,1,1,0,0
143,1823,4,-15,0,0,1,0,0,0,1
144,2904,4,-25,1,0,1,0,1,0,0
145,2246,5,-17,0,1,0,1,0,0,0
146,260,4,-90,1,1,1,0,1,1,1
147,4105,4,-86,1,1,0,0,0,1,0
148,2223,4,-65,1,1,1,0,0,1,0
149,394,2,-12,1,0,1,1,0,1,1
150,4961,4,-80,1,1,1,1,1,0,0
151,135,4,-92,1,1,1,0,1,0,1
152,2041,2,-63,0,1,0,1,0,0,1
153,922,3,-59,1,0,1,0,0,1,1
154,3196,3,-11,1,0,0,1,0,0,0
155,3763,5,-44,0,1,0,1,0,0,0
156,2667,4,-39,0,1,1,1,1,0,0
157,4335,3,-60,0,0,0,0,0,0,0
158,2752,0,-72,1,1,0,1,0,1,0
159,4740,1,-87,1,0,1,1,0,1,0
160,108,2,-89,1,1,0,0,0,0,1
161,218,3,-21,0,1,0,1,1,0,1
162,4335,4,-30,1,1,0,1,1,1,0
163,4277,4,-6,0,0,1,0,1,1,0
164,2116,4,-63,0,1,0,1,0,0,1
165,3804,0,-51,0,0,1,1,1,1,0
166,2565,1,-49,1,1,0,0,0,0,0
167,3265,2,-88,0,1,0,0,1,0,0
168,559,1,-51,0,1,1,0,1,0,1
169,3378,0,-13,0,1,1,0,0,0,0
170,3005,3,-80,0,1,0,0,1,0,0
171,2411,3,-5,1,0,1,0,0,0,0
172,1091,0,-50,1,1,0,1,0,0,1
173,4950,4,-94,0,0,1,0,0,0,0
174,2962,0,-30,1,1,1,1,0,0,0
175,3695,1,-62,1,0,0,0,0,0,0
176,4785,2,-96,1,1,0,0,0,0,0
177,3298,4,-66,1,1,1,0,1,1,0
178,663,2,-19,1,1,1,1,0,0,1
179,2429,0,-16,0,1,1,0,1,1,0
180,3900,5,-14,0,0,1,0,1,0,0
181,556,3,-93,1,1,0,0,1,0,1
182,1529,3,-53,0,1,1,1,1,1,1
183,334,3,-38,1,0,1,1,1,1,1
184,1632,1,-10,0,1,0,1,0,1,1
185,530,3,-13,1,1,1,0,0,1,1
186,4501,4,-31,0,0,1,0,1,1,0
187,1532,5,-11,1,0,1,0,1,0,1
188,1495,0,-1,0,0,1,0,1,1,1
189,3446,1,-46,0,1,1,1,1,0,0
190,551,5,-1,0,0,1,1,1,0,1
191,3703,5,-39,0,1,0,1,0,1,0
192,2449,1,-81,0,1,0,0,0,0,0
193,2812,2,-62,1,0,0,1,0,0,0
194,1246,1,-93,1,1,0,0,0,1,1
195,3804,0,-44,0,1,1,0,1,1,0
196,3613,2,-15,0,1,0,1,0,1,0
197,551,1,-99,1,1,0,0,0,1,1
198,1680,2,-96,1,1,0,0,1,0,1
199,2529,5,-44,0,0,0,1,1,1,0
200,4016,0,-96,0,0,1,0,0,0,0
201,250,0,-66,0,1,1,0,1,0,1
202,4340,3,-64,1,1,1,1,0,1,0
203,4184,5,-69,0,0,0,1,0,0,0
204,368,5,-47,0,1,0,1,1,1,1
205,906,1,-54,0,0,1,1,1,0,1
206,756,4,-75,0,1,1,1,1,1,1
207,4002,2,-52,1,0,0,0,1,1,0
208,3309,5,-58,0,1,1,1,0,0,0
209,904,2,-35,1,1,0,1,1,0,1
210,996,4,-2,0,1,0,0,1,1,1
211,472,1,-57,1,0,0,0,1,1,1
212,2006,3,-50,0,0,1,0,1,1,1
213,4107,0,-51,0,0,0,0,1,1,0
214,933,1,-80,0,0,0,1,1,0,1
215,2600,3,-12,1,1,1,0,1,0,0
216,399,0,-4,0,0,0,1,1,1,1
217,629,0,-8,0,1,1,1,1,0,1
218,4482,1,-36,0,1,1,0,0,0,0
219,2099,5,-21,1,1,1,0,0,0,1
220,340,4,-31,1,1,0,0,1,0,1
221,4130,1,-56,1,1,0,1,0,0,0
222,2128,4,-46,0,1,0,0,0,1,1
223,3538,4,-45,1,1,1,1,1,0,0
224,1936,0,-48,0,1,1,0,0,1,1
225,1332,3,-34,1,0,0,0,0,0,1
226,3159,2,-50,1,1,1,0,1,1,0
227,2813,4,-54,1,0,1,0,1,0,0
228,2085,0,-55,0,0,0,0,0,0,1
229,114,0,-70,0,1,1,1,0,0,1
230,2079,2,-91,1,1,0,0,1,0,1
231,4174,3,-67,0,1,1,0,0,0,0
232,1557,5,-86,1,0,0,1,0,1,1
233,4704,4,-34,1,0,1,0,1,1,0
234,3069,1,-89,0,0,1,1,1,0,0
235,3408,5,-20,1,0,1,1,0,1,0
236,473,3,-17,1,0,0,1,0,1,1
237,2277,4,-83,1,0,0,1,1,1,0
238,1377,2,-58,0,0,0,1,1,1,1
239,3702,4,-33,1,0,0,1,0,1,0
240,158,1,-63,1,1,0,0,0,0,1
241,2900,1,-46,1,0,1,0,0,1,0
242,707,0,-76,1,0,0,1,1,0,1
243,4717,5,-65,0,0,0,0,1,1,0
244,2363,2,-87,1,1,1,1,0,1,0
245,3449,0,-54,1,0,1,0,1,1,0
246,428,1,-36,0,0,0,1,0,0,1
247,4725,0,-9,1,1,1,0,1,0,0
248,4646,1,-2,1,1,1,1,0,1,0
249,1773,0,-75,0,0,0,0,0,1,1
250,848,0,-42,0,0,1,0,0,0,1
251,2495,5,-98,1,0,1,1,0,1,0
252,246,0,-7,1,1,1,1,1,1,1
253,1630,4,-85,0,1,1,1,0,1,1
254,937,4,-30,0,1,1,1,0,1,1
255,612,4,-87,0,0,1,0,1,1,1
256,3845,5,-18,0,0,0,1,0,1,0
257,1642,0,-74,1,1,1,0,1,0,1
258,4809,5,-5,0,1,1,0,1,1,0
259,1439,3,-96,0,0,0,0,1,0,1
260,47,5,-85,0,0,1,1,1,0,1
261,579,2,-20,0,0,0,1,0,1,1
262,4556,4,-81,0,1,1,1,1,0,0
263,1632,3,-88,0,0,1,0,1,1,1
264,3295,1,-24,1,0,0,1,0,0,0
265,1255,1,-50,0,1,0,0,0,0,1
266,616,3,-14,0,0,1,0,0,0,1
267,3451,1,-4,1,0,1,0,0,1,0
268,2149,3,-21,0,0,1,1,1,1,1
269,4640,4,-83,1,1,0,0,0,0,0
270,4269,4,-80,0,1,1,0,1,1,0
271,4456,3,-25,1,0,1,1,1,1,0
272,3222,5,-13,1,1,0,1,0,0,0
273,1819,2,-42,1,1,1,1,1,0,1
274,3573,2,-80,1,0,0,1,0,1,0
275,2927,4,-74,1,0,1,1,1,1,0
276,2838,0,-78,0,0,0,1,0,0,0
277,1917,1,-57,1,0,0,1,1,0,1
278,2759,3,-35,0,0,1,0,1,0,0
279,2283,5,-69,0,0,0,1,0,1,0
280,1651,3,-42,1,1,1,1,0,0,1
281,4804,2,-43,0,1,1,1,1,0,0
282,1325,1,-86,0,0,1,0,1,0,1
283,2697,2,-41,1,1,0,0,0,0,0
284,546,3,-73,0,0,0,0,0,0,1
285,2941,1,-12,0,1,1,0,0,0,0
286,1095,5,-56,0,1,0,1,1,0,1
287,3513,4,-41,0,1,1,0,1,0,0
288,451,3,-16,1,0,0,0,0,0,1
289,808,1,-89,0,1,0,0,0,0,1
290,3755,5,-48,0,1,0,1,1,0,0
291,4006,0,-59,0,0,0,0,0,1,0
292,2479,2,-6,1,1,1,0,0,1,0
293,4752,3,-18,1,0,1,1,0,0,0
294,2240,0,-1,0,0,0,0,1,1,0
295,2582,3,-78,1,1,0,0,1,1,0
296,4907,0,-10,1,1,1,0,0,0,0
297,4100,3,-20,0,0,0,0,1,0,0
298,3822,3,-40,1,1,1,0,1,0,0
299,2048,3,-59,1,0,1,1,0,0,1
300,1518,4,-9,0,0,1,1,0,0,1
301,2058,0,-39,1,1,0,0,1,1,1
302,3247,5,-79,1,0,0,1,1,1,0
303,1186,0,-62,0,1,0,1,1,0,1
304,1448,0,-25,1,0,0,0,0,1,1
305,3384,1,-89,0,0,0,1,0,1,0
306,1456,5,-76,0,1,0,0,1,0,1
307,2271,4,-27,0,1,0,1,0,0,0
308,886,4,-75,1,1,0,0,1,1,1
309,636,4,-10,0,1,0,0,1,0,1
310,4699,1,-73,0,1,1,0,1,1,0
311,2160,4,-68,0,0,1,1,1,0,0
312,2748,4,-22,0,1,1,1,0,1,0
313,1254,5,-6,0,0,1,0,0,0,1
314,80,5,-22,0,0,0,0,0,1,1
315,3552,0,-48,1,0,0,0,0,0,0
316,1147,5,-37,0,0,0,1,1,1,1
317,4637,0,-52,0,0,0,0,0,1,0
318,430,1,-75,1,1,1,0,0,1,1
319,4205,1,-66,0,1,0,0,1,0,0
320,1459,4,-63,0,0,0,1,0,0,1
321,2223,2,-15,1,0,1,0,1,1,0
322,2750,5,-3,0,0,0,0,0,1,0
323,1256,3,-78,1,0,1,0,0,1,1
324,897,0,-60,1,1,1,0,0,0,1
325,2977,0,-51,1,0,0,0,0,1,0
326,4541,4,-50,1,1,1,1,1,0,0
327,2434,3,-99,1,0,1,1,0,0,0
328,4826,0,-72,0,1,1,0,0,1,0
329,2741,4,-27,1,0,0,1,1,0,0
330,2671,5,-6,1,0,0,1,1,0,0
331,3497,2,-56,0,0,1,1,0,1,0
332,3510,0,-56,1,1,0,0,1,0,0
333,1896,5,-25,1,1,1,0,0,0,1
334,2416,4,-70,1,1,0,1,0,1,0
335,4449,2,-62,0,0,0,1,0,1,0
336,2264,0,-44,0,0,0,0,1,0,0
337,3650,1,-44,1,0,1,0,0,1,0
338,4652,0,-36,1,1,0,0,0,0,0
339,1436,2,-72,0,0,1,1,0,0,1
340,4661,2,-13,0,1,0,0,1,1,0
341,2473,3,-12,1,1,1,1,1,1,0
342,763,5,-68,1,0,0,0,1,1,1
343,4031,5,-34,1,0,1,0,0,0,0
344,2291,1,-14,1,1,1,1,1,0,0
345,594,2,-3,0,1,1,0,0,1,1
346,505,5,-98,1,0,1,0,0,0,1
347,1146,2,-34,1,0,1,0,1,0,1
348,3761,2,-9,0,0,0,1,1,1,0
349,1024,5,-43,0,1,1,1,0,1,1
350,2390,2,-4,1,1,1,0,0,1,0
351,454,3,-19,0,1,1,1,1,1,1
352,2980,3,-59,1,0,1,1,0,0,0
353,1245,4,-63,0,0,0,0,0,1,1
354,1689,4,-42,0,1,0,1,0,0,1
355,1556,2,-66,0,0,0,0,1,0,1
356,2877,2,-62,1,1,0,1,0,1,0
357,3432,1,-83,1,1,0,1,0,1,0
358,1784,4,-28,1,1,1,0,1,0,1
359,3648,2,-10,0,1,0,1,1,0,0
360,432,4,-21,0,1,1,1,0,0,1
361,3288,3,-21,0,1,0,0,1,1,0
362,3450,4,-93,1,0,0,1,1,0,0
363,3886,4,-42,0,0,0,1,1,1,0
364,942,4,-91,0,0,1,1,0,1,1
365,4234,2,-66,1,1,0,0,0,0,0
366,232,5,-12,0,0,1,0,0,1,1
367,754,4,-51,0,0,1,1,1,1,1
368,4211,1,-7,0,1,0,1,1,1,0
369,4308,3,-51,0,0,0,1,0,1,0
370,3939,5,-46,1,0,0,0,1,0,0
371,3882,3,-10,1,1,0,0,0,0,0
372,628,4,-27,0,0,1,1,0,0,1
373,3979,1,-39,0,0,0,0,1,1,0
374,3345,1,-2,0,0,1,0,0,0,0
375,2960,4,-57,0,0,1,1,1,1,0
376,3059,3,-89,1,0,0,1,0,1,0
377,373,1,-9,1,1,0,1,1,0,1
378,1868,5,-90,0,0,0,1,1,1,1
379,3891,5,-25,0,0,0,1,1,0,0
380,717,4,-12,1,0,0,0,0,0,1
381,1147,3,-78,0,1,0,1,1,1,1
382,4197,4,-98,0,0,1,0,1,1,0
383,2004,1,-40,1,1,1,1,0,1,1
384,2711,5,-4,0,1,1,0,1,0,0
385,235,0,-13,1,0,1,1,0,1,1
386,1901,2,-61,1,0,1,1,1,1,1
387,1854,0,-73,1,0,0,0,1,1,1
388,3349,5,-58,1,1,1,0,1,0,0
389,3464,0,-60,0,1,0,0,0,0,0
390,2540,3,-63,0,1,0,0,0,1,0
391,4331,3,-44,1,1,1,0,0,1,0
392,4105,4,-54,1,0,1,0,0,0,0
393,2844,4,-97,1,1,1,0,0,0,0
394,4454,5,-59,0,1,1,1,1,1,0
395,2195,4,-7,1,0,1,0,1,0,0
396,1914,5,-48,1,0,0,0,1,0,1
397,523,5,-80,1,1,1,0,1,1,1
398,85,4,-54,0,1,0,0,1,1,1
399,4526,4,-83,1,1,0,0,0,0,0
400,2264,3,-45,1,0,0,0,1,1,0
401,1894,3,-73,1,1,0,0,1,0,1
402,509,3,-69,1,0,1,0,1,0,1
403,2841,0,-65,0,0,1,1,0,0,0
404,2433,2,-37,1,0,0,0,0,0,0
405,368,0,-20,0,0,1,1,1,0,1
406,2449,3,-8,1,0,0,1,1,1,0
407,500,4,-87,0,1,1,1,1,0,1
408,2148,4,-19,1,0,1,0,1,0,1
409,4443,3,-27,0,0,0,0,0,1,0
410,653,3,-28,0,1,0,0,1,1,1
411,3076,0,-23,0,0,1,1,0,0,0
412,1839,2,-86,0,1,0,1,0,0,1
413,441,4,-62,0,0,0,1,1,1,1
414,2492,5,-89,0,1,0,0,1,0,0
415,3386,0,-96,0,0,1,0,0,0,0
416,2564,3,-8,0,0,0,0,0,0,0
417,734,3,-83,1,1,1,1,0,1,1
418,1971,3,-88,1,1,1,0,1,1,1
419,2847,3,-34,1,1,1,1,0,1,0
420,402,4,-37,0,1,0,1,1,0,1
421,4895,1,-60,0,1,1,0,0,1,0
422,1248,5,-27,1,0,1,0,0,1,1
423,1593,1,-7,1,0,0,1,0,1,1
424,4737,2,-66,1,0,1,1,0,1,0
425,4094,2,-65,0,0,1,0,0,1,0
426,4288,3,-37,1,0,0,0,0,0,0
427,2711,3,-20,0,0,0,0,0,0,0
428,2224,5,-46,1,1,1,0,0,1,0
429,2240,2,-66,1,1,0,0,1,0,0
430,1306,4,-91,0,1,1,1,0,0,1
431,2003,0,-14,0,1,1,0,0,1,1
432,2346,5,-89,0,0,1,0,0,0,0
433,1925,2,-79,0,0,1,1,1,0,1
434,4798,3,-67,1,0,0,1,1,1,0
435,631,1,-4,1,1,0,1,1,0,1
436,1841,2,-14,1,1,0,1,1,1,1
437,1046,1,-92,1,1,0,0,1,0,1
438,4008,0,-23,1,1,0,1,1,1,0
439,3013,2,-14,1,1,1,0,1,0,0
440,1332,0,-98,1,1,1,1,1,1,1
441,37,5,-17,1,0,0,0,1,0,1
442,1923,1,-40,1,0,1,1,1,0,1
443,157,4,-61,0,0,0,0,1,1,1
444,4091,5,-64,0,0,0,0,0,1,0
445,3759,1,-12,1,1,1,0,1,0,0
446,1799,2,-24,0,0,1,0,0,0,1
447,1154,4,-29,0,0,1,0,1,1,1
448,4924,5,-4,0,0,1,1,1,1,0
449,3662,0,-50,1,0,0,0,0,1,0
450,4068,1,-85,1,0,1,1,0,0,0
451,4120,3,-83,0,1,0,1,0,1,0
452,2314,2,-38,1,1,0,1,0,1,0
453,3139,3,-8,1,1,0,0,1,0,0
454,2162,2,-64,0,0,0,1,0,1,0
455,1070,1,-9,1,1,0,1,1,1,1
456,93,4,-9,0,1,1,0,1,0,1
457,4547,4,-75,1,1,1,0,0,0,0
458,662,2,-88,1,1,1,0,1,0,1
459,3522,0,-26,1,0,0,0,0,1,0
460,3673,5,-81,0,0,0,0,1,0,0
461,830,2,-76,1,0,0,1,1,0,1
462,4890,2,-44,1,1,1,0,0,0,0
463,1813,4,-27,0,1,1,1,1,1,1
464,3455,4,-73,1,1,1,0,0,1,0
465,3545,0,-66,1,0,0,0,0,1,0
466,177,0,-59,1,0,1,0,1,0,1
467,3775,1,-86,1,1,1,1,0,1,0
468,3394,5,-59,1,1,0,1,1,1,0
469,4193,4,-56,0,0,0,0,0,0,0
470,4035,3,-92,0,0,1,1,0,1,0
471,3919,0,-84,0,0,0,1,0,0,0
472,1687,4,-16,1,0,1,0,0,0,1
473,1956,2,-67,1,0,1,1,1,1,1
474,4723,0,-76,0,1,0,1,1,1,0
475,550,5,-77,1,0,1,0,0,1,1
476,4860,2,-5,1,0,1,0,0,1,0
477,1703,5,-87,1,0,1,1,1,1,1
478,4406,2,-43,0,1,1,1,0,1,0
479,2325,2,-60,1,0,0,0,0,0,0
480,1386,5,-39,0,1,0,1,1,1,1
481,1963,3,-53,0,1,0,0,0,0,1
482,1968,4,-53,0,1,0,1,1,1,1
483,3998,1,-32,0,1,1,1,0,1,0
484,731,5,-88,1,0,1,1,0,0,1
485,3900,3,-55,1,1,0,0,1,1,0
486,3729,4,-14,0,0,1,0,0,1,0
487,3756,2,-29,0,1,1,1,0,0,0
488,4222,4,-99,0,1,0,0,1,0,0
489,4001,2,-50,1,0,0,0,0,0,0
490,4138,0,-100,0,1,0,1,1,0,0
491,1829,5,-95,0,0,0,1,1,1,1
492,1129,5,-5,0,1,0,0,1,1,1
493,2097,2,-13,0,0,0,0,1,0,1
494,2440,4,-86,1,0,0,1,0,0,0
495,1649,3,-78,1,0,1,0,1,1,1
496,2470,3,-51,0,0,0,1,0,0,0
497,2941,3,-18,0,0,1,1,1,0,0
498,39,3,-63,1,1,0,0,1,1,1
499,4939,1,-63,1,1,1,1,0,0,0
500,4968,5,-5,0,1,1,1,1,0,0
501,1334,3,-43,1,1,1,1,1,0,1
502,4898,0,-79,0,0,0,0,0,0,0
503,503,5,-64,0,0,0,0,1,0,1
504,674,1,-94,0,0,1,1,0,0,1
505,1273,3,-80,1,0,0,1,0,0,1
506,43,5,-49,0,0,0,1,0,1,1
507,212,4,-99,0,1,1,0,1,0,1
508,3191,5,-56,1,0,1,1,0,0,0
509,160,5,-48,1,1,0,0,0,0,1
510,4485,4,-25,1,1,0,1,1,1,0
511,560,1,-31,0,1,1,1,1,1,1
512,4301,3,-74,0,1,1,0,0,0,0
513,4238,1,-48,1,0,1,1,0,0,0
514,3895,2,-8,1,0,0,0,1,1,0
515,3181,5,-72,0,1,1,0,0,1,0
516,2321,3,-6,0,1,0,1,1,1,0
517,3060,0,-66,0,1,0,1,0,0,0
518,1314,4,-25,1,1,1,1,0,1,1
519,1482,3,-94,0,0,0,1,1,1,1
520,4425,3,-89,0,1,0,0,1,0,0
521,4408,2,-25,0,0,1,0,1,1,0
522,2354,3,-88,1,0,0,0,1,0,0
523,974,5,-91,1,1,0,1,0,0,1
524,2586,5,-9,1,1,1,0,1,0,0
525,417,4,-63,1,0,1,1,1,0,1
526,1339,0,-84,0,1,0,0,1,0,1
527,282,4,-70,0,1,0,1,1,0,1
528,4897,4,-43,1,1,0,1,0,0,0
529,4500,5,-78,0,1,1,1,0,0,0
530,1199,0,-19,1,0,1,0,1,1,1
531,947,3,-69,0,1,0,1,1,1,1
532,235,4,-79,1,0,0,1,0,0,1
533,3838,5,-24,0,0,0,0,0,1,0
534,571,0,-92,0,1,1,1,1,0,1
535,91,0,-44,0,0,0,0,1,0,1
536,4467,0,-92,0,0,1,0,1,0,0
537,3503,3,-65,1,0,1,1,0,1,0
538,2460,5,-80,1,1,1,1,0,1,0
539,1584,2,-45,1,0,0,0,1,0,1
540,1511,1,-93,0,1,0,0,1,1,1
541,580,3,-98,0,1,1,0,1,0,1
542,1020,5,-78,0,1,0,0,1,0,1
543,4402,1,-8,1,1,0,0,0,0,0
544,1706,0,-59,0,0,1,1,0,0,1
545,4362,4,-83,0,0,1,1,1,1,0
546,4755,0,-12,1,1,0,0,0,1,0
547,4279,2,-51,1,0,1,1,0,1,0
548,3221,0,-42,1,0,1,0,1,0,0
549,744,5,-72,0,0,0,0,1,0,1
550,941,5,-49,0,0,1,1,1,0,1
551,1656,1,-46,0,1,1,0,0,0,1
552,3813,4,-33,0,0,0,1,0,1,0
553,3498,5,-33,1,0,0,1,0,0,0
554,3986,2,-1,0,1,1,1,0,0,0
555,657,3,-60,1,1,1,1,0,0,1
556,2693,1,-40,0,0,1,1,0,0,0
557,921,1,-34,0,0,1,0,0,1,1
558,923,5,-34,1,0,1,1,1,1,1
559,1559,5,-71,0,0,1,1,0,0,1
560,4492,4,-31,0,0,1,0,0,0,0
561,4947,1,-85,1,0,0,0,1,1,0
562,4832,3,-81,0,1,1,0,0,1,0
563,2667,3,-87,1,0,0,0,0,0,0
564,1198,0,-20,0,0,0,0,0,1,1
565,3122,0,-50,1,1,1,1,1,1,0
566,3087,3,-70,1,1,1,0,1,1,0
567,4817,0,-93,0,0,1,1,1,1,0
568,1090,1,-89,0,1,1,0,1,1,1
569,842,3,-100,0,1,1,0,1,1,1
570,3696,2,-72,0,0,0,1,1,0,0
571,3624,3,-72,0,1,1,1,0,0,0
572,601,2,-30,1,1,1,1,1,0,1
573,2258,5,-89,0,0,0,0,1,0,0
574,1157,1,-2,1,1,0,0,1,1,1
575,563,5,-100,1,1,0,1,1,0,1
576,924,5,-36,1,0,0,1,1,1,1
577,2100,0,-62,1,0,1,1,1,0,1
578,3528,1,-98,1,0,0,0,1,1,0
579,775,4,-39,0,0,0,1,0,1,1
580,959,2,-94,0,1,1,0,1,1,1
581,385,4,-55,0,1,0,1,1,0,1
582,1308,2,-27,1,0,0,0,0,1,1
583,904,0,-5,1,1,0,0,0,0,1
